,Algorithm,Accuracy,F1,AUC
0,Random Search,0.5785972073004614,0.5853805513397536,0.7861133576670171
1,Random Search,0.4960516611803644,0.5435297648072045,0.8683784046637723
2,Random Search,0.5765065255108967,0.5148616286787242,0.7910878064958861
3,Random Search,0.5007849255056638,0.5948589685893371,0.8699855515324901
4,Random Search,0.4892800434325446,0.5607129497117865,0.8509992828903709
5,Random Search,0.5676221499436652,0.5813139268411621,0.7742197686957834
6,Random Search,0.5054961138011161,0.5577434957875492,0.8048000352267324
7,Random Search,0.5498672985316988,0.5806743543101124,0.8403082751712795
8,Random Search,0.5383583283049043,0.4899558134541719,0.838906468448331
9,Random Search,0.52691231564471,0.5540568736303751,0.8569397789572601
10,Random Search,0.4840635593428211,0.5706658806542438,0.8488461405444884
11,Random Search,0.5733684587497118,0.4026342028009682,0.8571868093466909
12,Random Search,0.5441332541866782,0.4631239458212313,0.8532262109141818
13,Random Search,0.6146211998567511,0.4889420899240339,0.7881560810000399
14,Random Search,0.5326447247282604,0.5131127863609793,0.8392655739134821
15,Random Search,0.5342145757395879,0.5440270573361122,0.7319215039665146
16,Random Search,0.4913911659904861,0.5344521778548116,0.8447527199909222
17,Random Search,0.573383176102943,0.498884319920242,0.8393797470309977
18,Random Search,0.5853810895093071,0.5473777300786651,0.8423745625110307
19,Random Search,0.5686580880849944,0.5820468562446193,0.8098825600882668
20,Random Search,0.6255782693373756,0.5287911725627837,0.8377099644458795
21,Random Search,0.5853729132019564,0.5968103347224342,0.857240862198207
22,Random Search,0.5242664625860352,0.545345121623813,0.8663108231358169
23,Random Search,0.5890391694179941,0.4939476367020757,0.7431067435416651
24,Random Search,0.559798241439815,0.4421201162245566,0.8316785839338999
25,Random Search,0.5629346729395297,0.5369174174762692,0.8587971370720952
26,Random Search,0.5352357965276858,0.6044232422543164,0.7872887475521204
27,Random Search,0.549353826430077,0.5299279901686192,0.8603189019558491
28,Random Search,0.5634383334723306,0.4986708082421366,0.8156663417633948
29,Random Search,0.550388129309936,0.5725587359493437,0.8533759960244662
30,Random Search,0.5639796050189444,0.4824275037593877,0.841429637920486
31,Random Search,0.5947764842859549,0.5461854963535193,0.8401376956449694
32,Random Search,0.5791098617713478,0.6106290284231746,0.8090922106590032
