,Algorithm,Accuracy,F1,AUC
0,Random Search,0.8078412422754336,0.7996168442920345,0.9523120490968088
1,Random Search,0.8020793984854208,0.813097785288297,0.9543991670376608
2,Random Search,0.8073195938664613,0.8088192521842359,0.9490703807568536
3,Random Search,0.8062771146792516,0.8003547784915357,0.951007526424001
4,Random Search,0.8020810337468909,0.8053135794472953,0.9509125927955384
5,Random Search,0.8052191005080758,0.7997928913190449,0.955311344597728
6,Random Search,0.8057481075936637,0.8047777326909976,0.948332485064982
7,Random Search,0.79948260327085,0.794731205765831,0.9515690160170158
8,Random Search,0.7958212528392227,0.804714136895058,0.9512921325204466
9,Random Search,0.8031349597643915,0.8090611637041282,0.949563125530674
10,Random Search,0.8026133113554191,0.8116848804479337,0.951439504227441
11,Random Search,0.8083588025307306,0.8086570832668762,0.9472778310197096
12,Random Search,0.8120095237628021,0.8062312318566426,0.951586705972912
13,Random Search,0.8083604377922008,0.808769973060134,0.9498457364289952
14,Random Search,0.8114870577230947,0.8008828088388832,0.9494613525279344
15,Random Search,0.8015634734915938,0.8015204824566814,0.9526005572986914
16,Random Search,0.8135883687122152,0.8104459157374023,0.950808160550772
17,Random Search,0.8067889515194032,0.8078299200780584,0.949475829673364
18,Random Search,0.7989552314467322,0.8065696207080344,0.9492997960702968
19,Random Search,0.8047097165601294,0.8043359219778883,0.9461730639676617
20,Random Search,0.8083669788380813,0.80528262588453,0.9473845505493216
21,Random Search,0.8088747275245575,0.8021676592008774,0.9514014669271592
22,Random Search,0.8005275353502648,0.8025410217261406,0.9542156503827762
23,Random Search,0.8140985702908967,0.8077880502357297,0.955805424430337
24,Random Search,0.7979143875209926,0.8031529154396688,0.9539628678579936
25,Random Search,0.8083498085926449,0.8078588996435901,0.9505082707601166
26,Random Search,0.8083571672692605,0.8084738177325006,0.9502268378687172
27,Random Search,0.8047064460371892,0.7977915316799624,0.952685651755752
28,Random Search,0.8026075879402738,0.8030517390968223,0.9492287039017568
29,Random Search,0.8120119766550072,0.7984324703870359,0.945421590360286
30,GA,0.8177550149381135,0.8197999397212451,0.9587936943821096
31,GA,0.8224572092954804,0.8193164885848193,0.9574424201548558
32,GA,0.8187999470175283,0.8200489959210876,0.9593424874321084
33,GA,0.8219314727328326,0.8150452394843638,0.95838631309847
34,GA,0.8219322903635676,0.8269337039773687,0.9570736759169766
35,GA,0.8219331079943027,0.8185571679079073,0.9564048678198912
36,GA,0.8214098243238602,0.8172193652894458,0.9553367267184756
37,GA,0.8219347432557728,0.8175599127499535,0.9589748294485564
38,GA,0.8177574678303188,0.8138671493334716,0.9556636558610908
39,GA,0.8255838292263742,0.8179037892196249,0.9580257830595248
40,GA,0.824017248737987,0.8206016573651662,0.960145622239938
41,GA,0.8193256835801761,0.8197274624555028,0.9582096212026296
42,GA,0.8198342498973874,0.8221551671681023,0.9580930737915712
43,GA,0.8219388314094482,0.8118295572145161,0.9593128372701966
44,GA,0.8193215954265008,0.8181356559672116,0.9569089979381388
45,GA,0.820889811176358,0.819801510775792,0.958203596652791
46,GA,0.8250646337096071,0.8154129107640197,0.9578074576664688
47,GA,0.8177460210000277,0.8161807832176398,0.958541150980856
48,GA,0.819325683580176,0.8136214145584532,0.9588293924810096
49,GA,0.8188097585863492,0.8206669324419303,0.9586486511616146
50,GA,0.8261054776353465,0.8130002333873484,0.957898998210454
51,GA,0.8250695394940174,0.8226965376902938,0.9583750047258612
52,GA,0.8214081890623902,0.8159000945683861,0.9584546033948887
53,GA,0.8198481496198834,0.823953164801932,0.9583427317796048
54,GA,0.821924114056217,0.8237924933458259,0.9569363706740512
55,GA,0.8188056704326739,0.8155628189633933,0.9594108034530804
56,GA,0.8172284607447308,0.822998273683431,0.958977858820305
57,GA,0.82349968848269,0.8155371168915874,0.958510381496598
58,GA,0.8214057361701849,0.8225181445793771,0.9568049317620674
59,GA,0.8240278779375428,0.8188031049244012,0.9597917893266984
60,GA,0.8198350675281224,0.816722940105095,0.9596081082714676
61,PSO,0.8235247600349039,0.8120932192119088,0.954371505775646
62,PSO,0.8229902923211169,0.813225209478538,0.9562860401625646
63,PSO,0.810435754799302,0.8221603332533185,0.9552636192852964
64,PSO,0.8292730148342059,0.8210228802867008,0.9369076992611157
65,PSO,0.8251063481675394,0.822934868048578,0.9549493845578647
66,PSO,0.8256053664921467,0.8127888659625253,0.9507810338790943
67,PSO,0.8193171902268761,0.8126981031551527,0.9579552979458315
68,PSO,0.8240155977312391,0.8247366452618135,0.9550985432208302
69,PSO,0.8172583987783595,0.8225432965132938,0.9587437178100118
70,PSO,0.8318308246073298,0.8255759050700192,0.9515348331483058
71,PSO,0.8297829406631763,0.8328538150775875,0.9551012812583787
72,PSO,0.8214059773123908,0.820744135826488,0.9523489176950701
73,PSO,0.8281659031413613,0.829017021502431,0.9594837810087535
74,PSO,0.8209069589877837,0.8174021617218126,0.9486662913349055
75,PSO,0.818782722513089,0.819127512167495,0.9518231659495802
76,PSO,0.8250708987783595,0.8197954993940186,0.9552531601306061
77,PSO,0.8250763525305411,0.8231860298504412,0.9497700233119243
78,PSO,0.8313208987783595,0.8139127148383146,0.9536084155653469
79,PSO,0.8140924956369983,0.8275718489437679,0.9502635877067783
80,PSO,0.8355039267015707,0.8219269083832457,0.9574272413807756
81,PSO,0.8281495418848166,0.8245010680994259,0.9532712727715129
82,PSO,0.8245146160558464,0.8194717201176023,0.9583847097564042
83,PSO,0.8130535558464225,0.8163667641530509,0.9578474129280474
