,Algorithm,Accuracy,F1,AUC
0,PSO,0.6971013307155324,0.6677969171471891,0.9091969379884988
1,PSO,0.7394388089005235,0.7041937508126097,0.8922943542879673
2,PSO,0.6835869328097731,0.6844032680147869,0.9235555983838472
3,PSO,0.6589959642233857,0.6711991989708024,0.8922341861342579
4,PSO,0.6156877181500873,0.6562881673262577,0.9113822468547847
5,PSO,0.7378899432809773,0.6852651188602648,0.8907273037997001
6,PSO,0.7044284467713787,0.6570815763612686,0.8904868826295618
7,PSO,0.7154095767888308,0.6563643435171971,0.9188123417962556
8,PSO,0.654763852530541,0.693991367945595,0.8891740624981104
9,PSO,0.7237183682373474,0.6459868543284333,0.9136897760442636
10,PSO,0.6808818717277487,0.7027785357595797,0.9197084147535458
11,PSO,0.6506190008726003,0.6622014414860151,0.89783178034201
12,PSO,0.7295102530541011,0.7446215729531545,0.8955046786828923
13,PSO,0.7096395069808028,0.7204924006860238,0.8670724236212578
14,PSO,0.5790794066317627,0.7395961589334539,0.8936277692631218
15,PSO,0.6328370418848168,0.6423474718162026,0.8920604608411468
16,PSO,0.7305164703315881,0.6689704277762698,0.902883947549776
17,PSO,0.6537712696335077,0.6529416143477509,0.9144957483128732
18,PSO,0.732659794938918,0.6905445778935961,0.8922071293796747
19,PSO,0.7044802574171029,0.6996604756459154,0.9064930365285184
20,PSO,0.7018106457242583,0.6455344234237006,0.8958406832976931
21,PSO,0.6026041666666667,0.6433309331646991,0.9046494268000924
22,PSO,0.6516961169284468,0.6705804492123788,0.9144895710434844
23,PSO,0.641803010471204,0.7427767153485716,0.9060395374551776
24,PSO,0.6924438263525305,0.7042300495409342,0.8877995174428097
25,PSO,0.6480475567190227,0.7158489666355434,0.8893322667237827
26,PSO,0.67936027486911,0.7316433240131541,0.9157629440216066
27,PSO,0.6610629363001744,0.6600751687207169,0.9012460606645528
28,PSO,0.6537821771378709,0.7298327523216972,0.9125991473209732
29,PSO,0.7347840314136126,0.6625931514741044,0.8864942026780188
30,Random Search,0.8078412422754336,0.7996168442920345,0.9523120490968088
31,Random Search,0.8020793984854208,0.813097785288297,0.9543991670376608
32,Random Search,0.8073195938664613,0.8088192521842359,0.9490703807568536
33,Random Search,0.8062771146792516,0.8003547784915357,0.951007526424001
34,Random Search,0.8020810337468909,0.8053135794472953,0.9509125927955384
35,Random Search,0.8052191005080758,0.7997928913190449,0.955311344597728
36,Random Search,0.8057481075936637,0.8047777326909976,0.948332485064982
37,Random Search,0.79948260327085,0.794731205765831,0.9515690160170158
38,Random Search,0.7958212528392227,0.804714136895058,0.9512921325204466
39,Random Search,0.8031349597643915,0.8090611637041282,0.949563125530674
40,Random Search,0.8026133113554191,0.8116848804479337,0.951439504227441
41,Random Search,0.8083588025307306,0.8086570832668762,0.9472778310197096
